arquivo,acuracia_proxy,modo_proxy,vetorizador,classificador,hiperparams
submission_t0385_cv_proxy0.6256_count_mnb.csv,0.625562612542191,cv,count,mnb,"{""vet"": ""count"", ""clf"": ""mnb"", ""pipe"": ""Pipeline(steps=[('vet', CountVectorizer(max_df=0.95, max_features=30000)),\n                ('clf', MultinomialNB(alpha=0.75))])""}"
submission_t0387_cv_proxy0.6253_tfidf_mnb.csv,0.6252627624672285,cv,tfidf,mnb,"{""vet"": ""tfidf"", ""clf"": ""mnb"", ""pipe"": ""Pipeline(steps=[('vet',\n                 TfidfVectorizer(max_df=0.9, max_features=10000,\n                                 ngram_range=(1, 2))),\n                ('clf', MultinomialNB(alpha=0.35))])""}"
submission_t0165_cv_proxy0.6253_tfidf_mnb.csv,0.6252626499953324,cv,tfidf,mnb,"{""vet"": ""tfidf"", ""clf"": ""mnb"", ""pipe"": ""Pipeline(steps=[('vet',\n                 TfidfVectorizer(max_df=0.95, max_features=10000,\n                                 ngram_range=(1, 2), sublinear_tf=True)),\n                ('clf', MultinomialNB(alpha=0.35))])""}"
submission_t0186_cv_proxy0.6253_count_mnb.csv,0.6252606255012029,cv,count,mnb,"{""vet"": ""count"", ""clf"": ""mnb"", ""pipe"": ""Pipeline(steps=[('vet', CountVectorizer(ngram_range=(1, 2))),\n                ('clf', MultinomialNB(alpha=0.1))])""}"
submission_t0331_cv_proxy0.6250_tfidf_mnb.csv,0.6249631373360582,cv,tfidf,mnb,"{""vet"": ""tfidf"", ""clf"": ""mnb"", ""pipe"": ""Pipeline(steps=[('vet',\n                 TfidfVectorizer(max_df=0.85, max_features=50000, min_df=3,\n                                 ngram_range=(1, 2), sublinear_tf=True)),\n                ('clf', MultinomialNB(alpha=0.75))])""}"
submission_t0345_cv_proxy0.6248_count_mnb.csv,0.6248124249953043,cv,count,mnb,"{""vet"": ""count"", ""clf"": ""mnb"", ""pipe"": ""Pipeline(steps=[('vet',\n                 CountVectorizer(max_df=0.9, max_features=15000, min_df=2,\n                                 ngram_range=(1, 2))),\n                ('clf', MultinomialNB(alpha=0.2))])""}"
submission_t0429_cv_proxy0.6245_count_mnb.csv,0.6245123499765496,cv,count,mnb,"{""vet"": ""count"", ""clf"": ""mnb"", ""pipe"": ""Pipeline(steps=[('vet',\n                 CountVectorizer(max_df=0.85, max_features=15000,\n                                 ngram_range=(1, 2))),\n                ('clf', MultinomialNB(alpha=0.08))])""}"
submission_t0255_cv_proxy0.6245_count_mnb.csv,0.6245117876170692,cv,count,mnb,"{""vet"": ""count"", ""clf"": ""mnb"", ""pipe"": ""Pipeline(steps=[('vet',\n                 CountVectorizer(max_features=15000, min_df=2,\n                                 ngram_range=(1, 2))),\n                ('clf', MultinomialNB(alpha=0.1))])""}"
submission_t0213_cv_proxy0.6242_tfidf_mnb.csv,0.6242131747329636,cv,tfidf,mnb,"{""vet"": ""tfidf"", ""clf"": ""mnb"", ""pipe"": ""Pipeline(steps=[('vet',\n                 TfidfVectorizer(max_df=0.95, max_features=10000, min_df=2,\n                                 ngram_range=(1, 2))),\n                ('clf', MultinomialNB(alpha=0.2))])""}"
submission_t0134_cv_proxy0.6241_tfidf_mnb.csv,0.6240630247516903,cv,tfidf,mnb,"{""vet"": ""tfidf"", ""clf"": ""mnb"", ""pipe"": ""Pipeline(steps=[('vet',\n                 TfidfVectorizer(max_features=30000, min_df=3,\n                                 sublinear_tf=True)),\n                ('clf', MultinomialNB(alpha=0.75))])""}"
submission_t0320_cv_proxy0.6241_tfidf_mnb.csv,0.6240621249765215,cv,tfidf,mnb,"{""vet"": ""tfidf"", ""clf"": ""mnb"", ""pipe"": ""Pipeline(steps=[('vet', TfidfVectorizer(min_df=2, ngram_range=(1, 2))),\n                ('clf', MultinomialNB(alpha=0.05))])""}"
submission_t0300_cv_proxy0.6241_count_mnb.csv,0.6240621249765214,cv,count,mnb,"{""vet"": ""count"", ""clf"": ""mnb"", ""pipe"": ""Pipeline(steps=[('vet',\n                 CountVectorizer(max_features=15000, min_df=2,\n                                 ngram_range=(1, 2))),\n                ('clf', MultinomialNB(alpha=0.15))])""}"
submission_t0264_cv_proxy0.6241_count_mnb.csv,0.6240621249765214,cv,count,mnb,"{""vet"": ""count"", ""clf"": ""mnb"", ""pipe"": ""Pipeline(steps=[('vet',\n                 CountVectorizer(max_df=0.95, min_df=2, ngram_range=(1, 2))),\n                ('clf', MultinomialNB(alpha=0.15))])""}"
submission_t0278_cv_proxy0.6238_tfidf_mnb.csv,0.6237640744518963,cv,tfidf,mnb,"{""vet"": ""tfidf"", ""clf"": ""mnb"", ""pipe"": ""Pipeline(steps=[('vet',\n                 TfidfVectorizer(max_features=50000, min_df=3,\n                                 ngram_range=(1, 2), sublinear_tf=True)),\n                ('clf', MultinomialNB(alpha=0.15))])""}"
submission_t0343_cv_proxy0.6230_tfidf_mnb.csv,0.6230136619612174,cv,tfidf,mnb,"{""vet"": ""tfidf"", ""clf"": ""mnb"", ""pipe"": ""Pipeline(steps=[('vet',\n                 TfidfVectorizer(max_df=0.9, max_features=15000, min_df=3,\n                                 ngram_range=(1, 2))),\n                ('clf', MultinomialNB(alpha=0.05))])""}"
submission_t0197_cv_proxy0.6230_tfidf_mnb.csv,0.6230118624108801,cv,tfidf,mnb,"{""vet"": ""tfidf"", ""clf"": ""mnb"", ""pipe"": ""Pipeline(steps=[('vet',\n                 TfidfVectorizer(max_df=0.85, max_features=15000, min_df=2,\n                                 ngram_range=(1, 2), sublinear_tf=True)),\n                ('clf', MultinomialNB(alpha=0.05))])""}"
submission_t0050_cv_proxy0.6229_count_mnb.csv,0.6228619373733988,cv,count,mnb,"{""vet"": ""count"", ""clf"": ""mnb"", ""pipe"": ""Pipeline(steps=[('vet', CountVectorizer()), ('clf', MultinomialNB(alpha=0.5))])""}"
submission_t0342_cv_proxy0.6227_tfidf_mnb.csv,0.6227132495267744,cv,tfidf,mnb,"{""vet"": ""tfidf"", ""clf"": ""mnb"", ""pipe"": ""Pipeline(steps=[('vet',\n                 TfidfVectorizer(max_features=10000, min_df=3,\n                                 stop_words='english', sublinear_tf=True)),\n                ('clf', MultinomialNB())])""}"
submission_t0295_cv_proxy0.6227_tfidf_mnb.csv,0.6227127996391901,cv,tfidf,mnb,"{""vet"": ""tfidf"", ""clf"": ""mnb"", ""pipe"": ""Pipeline(steps=[('vet', TfidfVectorizer(max_df=0.9, max_features=15000)),\n                ('clf', MultinomialNB(alpha=0.35))])""}"
submission_t0240_cv_proxy0.6227_count_mnb.csv,0.6227123497516058,cv,count,mnb,"{""vet"": ""count"", ""clf"": ""mnb"", ""pipe"": ""Pipeline(steps=[('vet', CountVectorizer(min_df=2)),\n                ('clf', MultinomialNB(alpha=0.35))])""}"
submission_t0178_cv_proxy0.6227_count_mnb.csv,0.6227123497516058,cv,count,mnb,"{""vet"": ""count"", ""clf"": ""mnb"", ""pipe"": ""Pipeline(steps=[('vet',\n                 CountVectorizer(max_df=0.9, max_features=50000, min_df=2)),\n                ('clf', MultinomialNB(alpha=0.35))])""}"
submission_t0319_cv_proxy0.6227_count_mnb.csv,0.6227123497516058,cv,count,mnb,"{""vet"": ""count"", ""clf"": ""mnb"", ""pipe"": ""Pipeline(steps=[('vet',\n                 CountVectorizer(max_df=0.95, max_features=10000, min_df=2)),\n                ('clf', MultinomialNB(alpha=0.35))])""}"
submission_t0064_cv_proxy0.6223_count_mnb.csv,0.622262462167266,cv,count,mnb,"{""vet"": ""count"", ""clf"": ""mnb"", ""pipe"": ""Pipeline(steps=[('vet',\n                 CountVectorizer(max_df=0.9, max_features=30000, min_df=2,\n                                 ngram_range=(1, 2), stop_words='english')),\n                ('clf', MultinomialNB())])""}"
submission_t0038_cv_proxy0.6223_count_mnb.csv,0.622262462167266,cv,count,mnb,"{""vet"": ""count"", ""clf"": ""mnb"", ""pipe"": ""Pipeline(steps=[('vet',\n                 CountVectorizer(max_features=20000, min_df=2,\n                                 ngram_range=(1, 2), stop_words='english')),\n                ('clf', MultinomialNB())])""}"
submission_t0275_cv_proxy0.6223_tfidf_mnb.csv,0.6222621247515777,cv,tfidf,mnb,"{""vet"": ""tfidf"", ""clf"": ""mnb"", ""pipe"": ""Pipeline(steps=[('vet',\n                 TfidfVectorizer(max_df=0.85, min_df=2, sublinear_tf=True)),\n                ('clf', MultinomialNB(alpha=0.2))])""}"
submission_t0156_cv_proxy0.6223_count_mnb.csv,0.6222618998077855,cv,count,mnb,"{""vet"": ""count"", ""clf"": ""mnb"", ""pipe"": ""Pipeline(steps=[('vet',\n                 CountVectorizer(max_df=0.85, max_features=50000, min_df=2)),\n                ('clf', MultinomialNB(alpha=0.5))])""}"
submission_t0262_cv_proxy0.6223_count_mnb.csv,0.6222618998077855,cv,count,mnb,"{""vet"": ""count"", ""clf"": ""mnb"", ""pipe"": ""Pipeline(steps=[('vet', CountVectorizer(max_features=15000, min_df=2)),\n                ('clf', MultinomialNB(alpha=0.5))])""}"
submission_t0418_cv_proxy0.6220_tfidf_mnb.csv,0.6219620497328231,cv,tfidf,mnb,"{""vet"": ""tfidf"", ""clf"": ""mnb"", ""pipe"": ""Pipeline(steps=[('vet',\n                 TfidfVectorizer(max_df=0.9, max_features=10000, min_df=3,\n                                 sublinear_tf=True)),\n                ('clf', MultinomialNB(alpha=0.35))])""}"
submission_t0405_cv_proxy0.6218_count_mnb.csv,0.6218132494143026,cv,count,mnb,"{""vet"": ""count"", ""clf"": ""mnb"", ""pipe"": ""Pipeline(steps=[('vet',\n                 CountVectorizer(max_df=0.9, max_features=30000, min_df=3,\n                                 ngram_range=(1, 2))),\n                ('clf', MultinomialNB())])""}"
submission_t0426_cv_proxy0.6218_count_mnb.csv,0.6218132494143026,cv,count,mnb,"{""vet"": ""count"", ""clf"": ""mnb"", ""pipe"": ""Pipeline(steps=[('vet',\n                 CountVectorizer(max_df=0.9, max_features=30000, min_df=3,\n                                 ngram_range=(1, 2))),\n                ('clf', MultinomialNB())])""}"
submission_t0334_cv_proxy0.6218_tfidf_mnb.csv,0.6218129119986144,cv,tfidf,mnb,"{""vet"": ""tfidf"", ""clf"": ""mnb"", ""pipe"": ""Pipeline(steps=[('vet',\n                 TfidfVectorizer(max_features=30000, min_df=3,\n                                 stop_words='english')),\n                ('clf', MultinomialNB())])""}"
submission_t0077_cv_proxy0.6218_tfidf_mnb.csv,0.6218129119986143,cv,tfidf,mnb,"{""vet"": ""tfidf"", ""clf"": ""mnb"", ""pipe"": ""Pipeline(steps=[('vet',\n                 TfidfVectorizer(max_features=15000, min_df=2,\n                                 stop_words='english', sublinear_tf=True)),\n                ('clf', MultinomialNB())])""}"
submission_t0256_cv_proxy0.6215_count_mnb.csv,0.6215121621484831,cv,count,mnb,"{""vet"": ""count"", ""clf"": ""mnb"", ""pipe"": ""Pipeline(steps=[('vet', CountVectorizer()), ('clf', MultinomialNB(alpha=0.35))])""}"
submission_t0202_cv_proxy0.6215_tfidf_mnb.csv,0.6215121621484831,cv,tfidf,mnb,"{""vet"": ""tfidf"", ""clf"": ""mnb"", ""pipe"": ""Pipeline(steps=[('vet', TfidfVectorizer(min_df=3)),\n                ('clf', MultinomialNB(alpha=0.2))])""}"
submission_t0377_cv_proxy0.6214_tfidf_mnb.csv,0.6213630244142745,cv,tfidf,mnb,"{""vet"": ""tfidf"", ""clf"": ""mnb"", ""pipe"": ""Pipeline(steps=[('vet',\n                 TfidfVectorizer(max_df=0.85, max_features=30000, min_df=2,\n                                 ngram_range=(1, 2), stop_words='english')),\n                ('clf', MultinomialNB())])""}"
submission_t0049_cv_proxy0.6212_count_mnb.csv,0.6212118621859363,cv,count,mnb,"{""vet"": ""count"", ""clf"": ""mnb"", ""pipe"": ""Pipeline(steps=[('vet', CountVectorizer()), ('clf', MultinomialNB(alpha=0.3))])""}"
submission_t0268_cv_proxy0.6211_tfidf_mnb.csv,0.6210621620922472,cv,tfidf,mnb,"{""vet"": ""tfidf"", ""clf"": ""mnb"", ""pipe"": ""Pipeline(steps=[('vet',\n                 TfidfVectorizer(max_df=0.85, max_features=30000, min_df=2)),\n                ('clf', MultinomialNB(alpha=0.15))])""}"
submission_t0205_cv_proxy0.6209_tfidf_mnb.csv,0.6209130243580385,cv,tfidf,mnb,"{""vet"": ""tfidf"", ""clf"": ""mnb"", ""pipe"": ""Pipeline(steps=[('vet',\n                 TfidfVectorizer(max_df=0.95, max_features=15000, min_df=2,\n                                 ngram_range=(1, 2), stop_words='english',\n                                 sublinear_tf=True)),\n                ('clf', MultinomialNB())])""}"
submission_t0090_cv_proxy0.6209_tfidf_mnb.csv,0.6209130243580385,cv,tfidf,mnb,"{""vet"": ""tfidf"", ""clf"": ""mnb"", ""pipe"": ""Pipeline(steps=[('vet',\n                 TfidfVectorizer(max_df=0.95, max_features=20000, min_df=2,\n                                 ngram_range=(1, 2), stop_words='english',\n                                 sublinear_tf=True)),\n                ('clf', MultinomialNB())])""}"
