arquivo,acuracia_proxy,modo_proxy,vetorizador,classificador,hiperparams
submission_t2039_holdout_proxy0.6372_count_mnb.csv,0.6371814092953523,holdout,count,mnb,"{""vet"": ""count"", ""clf"": ""mnb"", ""pipe"": ""Pipeline(steps=[('vet',\n                 CountVectorizer(binary=True, max_df=0.95, max_features=60000,\n                                 min_df=2, stop_words='english')),\n                ('clf', MultinomialNB(alpha=0.06))])""}"
submission_t1070_holdout_proxy0.6364_count_mnb.csv,0.636431784107946,holdout,count,mnb,"{""vet"": ""count"", ""clf"": ""mnb"", ""pipe"": ""Pipeline(steps=[('vet',\n                 CountVectorizer(binary=True, max_df=0.92, max_features=30000,\n                                 min_df=2, stop_words='english')),\n                ('clf', MultinomialNB(alpha=0.85))])""}"
submission_t0081_holdout_proxy0.6357_count_mnb.csv,0.6356821589205397,holdout,count,mnb,"{""vet"": ""count"", ""clf"": ""mnb"", ""pipe"": ""Pipeline(steps=[('vet',\n                 CountVectorizer(max_df=0.92, max_features=25000, min_df=2,\n                                 stop_words='english')),\n                ('clf', MultinomialNB(alpha=0.15))])""}"
submission_t0019_holdout_proxy0.6357_count_mnb.csv,0.6356821589205397,holdout,count,mnb,"{""vet"": ""count"", ""clf"": ""mnb"", ""pipe"": ""Pipeline(steps=[('vet',\n                 CountVectorizer(max_df=0.95, min_df=2, stop_words='english')),\n                ('clf', MultinomialNB(alpha=0.15))])""}"
submission_t0078_holdout_proxy0.6357_count_mnb.csv,0.6356821589205397,holdout,count,mnb,"{""vet"": ""count"", ""clf"": ""mnb"", ""pipe"": ""Pipeline(steps=[('vet',\n                 CountVectorizer(max_df=0.92, max_features=25000, min_df=2,\n                                 stop_words='english')),\n                ('clf', MultinomialNB(alpha=0.12))])""}"
submission_t0047_holdout_proxy0.6357_count_mnb.csv,0.6356821589205397,holdout,count,mnb,"{""vet"": ""count"", ""clf"": ""mnb"", ""pipe"": ""Pipeline(steps=[('vet',\n                 CountVectorizer(max_df=0.95, max_features=20000, min_df=2,\n                                 stop_words='english')),\n                ('clf', MultinomialNB(alpha=0.12))])""}"
submission_t0016_holdout_proxy0.6357_count_mnb.csv,0.6356821589205397,holdout,count,mnb,"{""vet"": ""count"", ""clf"": ""mnb"", ""pipe"": ""Pipeline(steps=[('vet',\n                 CountVectorizer(max_df=0.95, min_df=2, stop_words='english')),\n                ('clf', MultinomialNB(alpha=0.12))])""}"
submission_t0050_holdout_proxy0.6357_count_mnb.csv,0.6356821589205397,holdout,count,mnb,"{""vet"": ""count"", ""clf"": ""mnb"", ""pipe"": ""Pipeline(steps=[('vet',\n                 CountVectorizer(max_df=0.95, max_features=20000, min_df=2,\n                                 stop_words='english')),\n                ('clf', MultinomialNB(alpha=0.15))])""}"
submission_t0051_holdout_proxy0.6349_count_mnb.csv,0.6349325337331334,holdout,count,mnb,"{""vet"": ""count"", ""clf"": ""mnb"", ""pipe"": ""Pipeline(steps=[('vet',\n                 CountVectorizer(max_df=0.95, max_features=20000, min_df=2,\n                                 stop_words='english')),\n                ('clf', MultinomialNB(alpha=0.175))])""}"
submission_t0044_holdout_proxy0.6349_count_mnb.csv,0.6349325337331334,holdout,count,mnb,"{""vet"": ""count"", ""clf"": ""mnb"", ""pipe"": ""Pipeline(steps=[('vet',\n                 CountVectorizer(max_df=0.95, max_features=20000, min_df=2,\n                                 stop_words='english')),\n                ('clf', MultinomialNB(alpha=0.09))])""}"
submission_t0045_holdout_proxy0.6349_count_mnb.csv,0.6349325337331334,holdout,count,mnb,"{""vet"": ""count"", ""clf"": ""mnb"", ""pipe"": ""Pipeline(steps=[('vet',\n                 CountVectorizer(max_df=0.95, max_features=20000, min_df=2,\n                                 stop_words='english')),\n                ('clf', MultinomialNB(alpha=0.1))])""}"
submission_t0046_holdout_proxy0.6349_count_mnb.csv,0.6349325337331334,holdout,count,mnb,"{""vet"": ""count"", ""clf"": ""mnb"", ""pipe"": ""Pipeline(steps=[('vet',\n                 CountVectorizer(max_df=0.95, max_features=20000, min_df=2,\n                                 stop_words='english')),\n                ('clf', MultinomialNB(alpha=0.11))])""}"
submission_t0048_holdout_proxy0.6349_count_mnb.csv,0.6349325337331334,holdout,count,mnb,"{""vet"": ""count"", ""clf"": ""mnb"", ""pipe"": ""Pipeline(steps=[('vet',\n                 CountVectorizer(max_df=0.95, max_features=20000, min_df=2,\n                                 stop_words='english')),\n                ('clf', MultinomialNB(alpha=0.13))])""}"
submission_t0074_holdout_proxy0.6349_count_mnb.csv,0.6349325337331334,holdout,count,mnb,"{""vet"": ""count"", ""clf"": ""mnb"", ""pipe"": ""Pipeline(steps=[('vet',\n                 CountVectorizer(max_df=0.92, max_features=25000, min_df=2,\n                                 stop_words='english')),\n                ('clf', MultinomialNB(alpha=0.08))])""}"
submission_t1666_holdout_proxy0.6349_count_mnb.csv,0.6349325337331334,holdout,count,mnb,"{""vet"": ""count"", ""clf"": ""mnb"", ""pipe"": ""Pipeline(steps=[('vet',\n                 CountVectorizer(max_df=0.92, max_features=15000, min_df=4,\n                                 ngram_range=(1, 2), stop_words='english')),\n                ('clf', MultinomialNB(alpha=0.85))])""}"
submission_t1983_holdout_proxy0.6349_count_mnb.csv,0.6349325337331334,holdout,count,mnb,"{""vet"": ""count"", ""clf"": ""mnb"", ""pipe"": ""Pipeline(steps=[('vet',\n                 CountVectorizer(binary=True, max_df=0.9, max_features=30000,\n                                 min_df=2, stop_words='english')),\n                ('clf', MultinomialNB(alpha=0.008))])""}"
submission_t0075_holdout_proxy0.6349_count_mnb.csv,0.6349325337331334,holdout,count,mnb,"{""vet"": ""count"", ""clf"": ""mnb"", ""pipe"": ""Pipeline(steps=[('vet',\n                 CountVectorizer(max_df=0.92, max_features=25000, min_df=2,\n                                 stop_words='english')),\n                ('clf', MultinomialNB(alpha=0.09))])""}"
submission_t0076_holdout_proxy0.6349_count_mnb.csv,0.6349325337331334,holdout,count,mnb,"{""vet"": ""count"", ""clf"": ""mnb"", ""pipe"": ""Pipeline(steps=[('vet',\n                 CountVectorizer(max_df=0.92, max_features=25000, min_df=2,\n                                 stop_words='english')),\n                ('clf', MultinomialNB(alpha=0.1))])""}"
submission_t0077_holdout_proxy0.6349_count_mnb.csv,0.6349325337331334,holdout,count,mnb,"{""vet"": ""count"", ""clf"": ""mnb"", ""pipe"": ""Pipeline(steps=[('vet',\n                 CountVectorizer(max_df=0.92, max_features=25000, min_df=2,\n                                 stop_words='english')),\n                ('clf', MultinomialNB(alpha=0.11))])""}"
submission_t0079_holdout_proxy0.6349_count_mnb.csv,0.6349325337331334,holdout,count,mnb,"{""vet"": ""count"", ""clf"": ""mnb"", ""pipe"": ""Pipeline(steps=[('vet',\n                 CountVectorizer(max_df=0.92, max_features=25000, min_df=2,\n                                 stop_words='english')),\n                ('clf', MultinomialNB(alpha=0.13))])""}"
submission_t0080_holdout_proxy0.6349_count_mnb.csv,0.6349325337331334,holdout,count,mnb,"{""vet"": ""count"", ""clf"": ""mnb"", ""pipe"": ""Pipeline(steps=[('vet',\n                 CountVectorizer(max_df=0.92, max_features=25000, min_df=2,\n                                 stop_words='english')),\n                ('clf', MultinomialNB(alpha=0.14))])""}"
submission_t0082_holdout_proxy0.6349_count_mnb.csv,0.6349325337331334,holdout,count,mnb,"{""vet"": ""count"", ""clf"": ""mnb"", ""pipe"": ""Pipeline(steps=[('vet',\n                 CountVectorizer(max_df=0.92, max_features=25000, min_df=2,\n                                 stop_words='english')),\n                ('clf', MultinomialNB(alpha=0.175))])""}"
submission_t0043_holdout_proxy0.6349_count_mnb.csv,0.6349325337331334,holdout,count,mnb,"{""vet"": ""count"", ""clf"": ""mnb"", ""pipe"": ""Pipeline(steps=[('vet',\n                 CountVectorizer(max_df=0.95, max_features=20000, min_df=2,\n                                 stop_words='english')),\n                ('clf', MultinomialNB(alpha=0.08))])""}"
submission_t0049_holdout_proxy0.6349_count_mnb.csv,0.6349325337331334,holdout,count,mnb,"{""vet"": ""count"", ""clf"": ""mnb"", ""pipe"": ""Pipeline(steps=[('vet',\n                 CountVectorizer(max_df=0.95, max_features=20000, min_df=2,\n                                 stop_words='english')),\n                ('clf', MultinomialNB(alpha=0.14))])""}"
submission_t0012_holdout_proxy0.6349_count_mnb.csv,0.6349325337331334,holdout,count,mnb,"{""vet"": ""count"", ""clf"": ""mnb"", ""pipe"": ""Pipeline(steps=[('vet',\n                 CountVectorizer(max_df=0.95, min_df=2, stop_words='english')),\n                ('clf', MultinomialNB(alpha=0.08))])""}"
submission_t0013_holdout_proxy0.6349_count_mnb.csv,0.6349325337331334,holdout,count,mnb,"{""vet"": ""count"", ""clf"": ""mnb"", ""pipe"": ""Pipeline(steps=[('vet',\n                 CountVectorizer(max_df=0.95, min_df=2, stop_words='english')),\n                ('clf', MultinomialNB(alpha=0.09))])""}"
submission_t0014_holdout_proxy0.6349_count_mnb.csv,0.6349325337331334,holdout,count,mnb,"{""vet"": ""count"", ""clf"": ""mnb"", ""pipe"": ""Pipeline(steps=[('vet',\n                 CountVectorizer(max_df=0.95, min_df=2, stop_words='english')),\n                ('clf', MultinomialNB(alpha=0.1))])""}"
submission_t0015_holdout_proxy0.6349_count_mnb.csv,0.6349325337331334,holdout,count,mnb,"{""vet"": ""count"", ""clf"": ""mnb"", ""pipe"": ""Pipeline(steps=[('vet',\n                 CountVectorizer(max_df=0.95, min_df=2, stop_words='english')),\n                ('clf', MultinomialNB(alpha=0.11))])""}"
submission_t0017_holdout_proxy0.6349_count_mnb.csv,0.6349325337331334,holdout,count,mnb,"{""vet"": ""count"", ""clf"": ""mnb"", ""pipe"": ""Pipeline(steps=[('vet',\n                 CountVectorizer(max_df=0.95, min_df=2, stop_words='english')),\n                ('clf', MultinomialNB(alpha=0.13))])""}"
submission_t0018_holdout_proxy0.6349_count_mnb.csv,0.6349325337331334,holdout,count,mnb,"{""vet"": ""count"", ""clf"": ""mnb"", ""pipe"": ""Pipeline(steps=[('vet',\n                 CountVectorizer(max_df=0.95, min_df=2, stop_words='english')),\n                ('clf', MultinomialNB(alpha=0.14))])""}"
